漢字,文字コード,コード,その他
琮,住基ネット統一文字コード,J+742E,NULL
琤,Unicode,U+7424,NULL
琤,JIS X 0213,2-80-78,面区点番号
琤,Shift_JIS-2004,F5EC,NULL
琤,MJ文字図形名,MJ017285,NULL
琤,戸籍統一文字番号,236070,NULL
琤,住基ネット統一文字コード,J+7424,NULL
琱,Unicode,U+7431,NULL
琱,JIS X 0213,2-80-79,面区点番号
琱,Shift_JIS-2004,F5ED,NULL
琱,MJ文字図形名,MJ017301,NULL
琱,戸籍統一文字番号,236190,NULL
琱,住基ネット統一文字コード,J+7431,NULL
琛,Unicode,U+741B,NULL
琛,JIS X 0213,1-88-04,面区点番号
琛,Shift_JIS-2004,ECA2,NULL
琛,MJ文字図形名,MJ017275,NULL
琛,戸籍統一文字番号,235980,NULL
琛,住基ネット統一文字コード,J+741B,NULL
珷,Unicode,U+73F7,NULL
珷,JIS X 0213,-,NULL
珷,Shift_JIS-2004,-,NULL
珷,MJ文字図形名,MJ017238,NULL
珷,戸籍統一文字番号,235390,NULL
珷,住基ネット統一文字コード,J+73F7,NULL
珐,Unicode,U+73D0,NULL
珐,JIS X 0213,-,NULL
珐,Shift_JIS-2004,-,NULL
珐,MJ文字図形名,MJ017196,NULL
珐,戸籍統一文字番号,234760,NULL
珐,住基ネット統一文字コード,-,NULL
琫,Unicode,U+742B,NULL
琫,JIS X 0213,1-88-09,面区点番号
琫,Shift_JIS-2004,ECA7,NULL
琫,MJ文字図形名,MJ017295,NULL
琫,戸籍統一文字番号,236130,NULL
琫,住基ネット統一文字コード,J+742B,NULL
琭,Unicode,U+742D,NULL
琭,JIS X 0213,-,NULL
琭,Shift_JIS-2004,-,NULL
琭,MJ文字図形名,MJ017297,NULL
琭,戸籍統一文字番号,236150,NULL
琭,住基ネット統一文字コード,J+742D,NULL
瑋,Unicode,U+744B,NULL
瑋,JIS X 0213,1-88-17,面区点番号
瑋,Shift_JIS-2004,ECAF,NULL
瑋,MJ文字図形名,MJ017333,NULL
瑋,MJ文字図形名,MJ017334,NULL
瑋,MJ文字図形名,MJ017335,NULL
瑋,戸籍統一文字番号,236620,MJ017333
瑋,戸籍統一文字番号,237370,MJ017334
瑋,住基ネット統一文字コード,J+B5B9,MJ017333
瑋,住基ネット統一文字コード,J+744B,MJ017334
瑋,住基ネット統一文字コード,J+C0C2,MJ017335
瑀,Unicode,U+7440,NULL
瑀,JIS X 0213,2-80-82,面区点番号
瑀,Shift_JIS-2004,F5F0,NULL
瑀,MJ文字図形名,MJ017320,NULL
瑀,戸籍統一文字番号,236510,NULL
瑀,住基ネット統一文字コード,J+7440,NULL
瑗,Unicode,U+7457,NULL
瑗,JIS X 0213,1-88-18,面区点番号
瑗,Shift_JIS-2004,ECB0,NULL
瑗,MJ文字図形名,MJ017348,NULL
瑗,戸籍統一文字番号,236770,NULL
瑗,住基ネット統一文字コード,J+7457,NULL
瑍,Unicode,U+744D,NULL
瑍,JIS X 0213,2-80-84,面区点番号
瑍,Shift_JIS-2004,F5F2,NULL
瑍,MJ文字図形名,MJ017337,NULL
瑍,戸籍統一文字番号,236640,NULL
瑍,住基ネット統一文字コード,J+744D,NULL
瑊,Unicode,U+744A,NULL
瑊,JIS X 0213,-,NULL
瑊,Shift_JIS-2004,-,NULL
瑊,MJ文字図形名,MJ017332,NULL
瑊,MJ文字図形名,MJ059902,NULL
瑊,戸籍統一文字番号,236610,MJ017332
瑊,住基ネット統一文字コード,J+744A,MJ017332
瑊,住基ネット統一文字コード,J+B5B4,MJ059902
瑝,Unicode,U+745D,NULL
瑝,JIS X 0213,2-80-86,面区点番号
瑝,Shift_JIS-2004,F5F4,NULL
瑝,MJ文字図形名,MJ017357,NULL
瑝,戸籍統一文字番号,236850,NULL
瑝,住基ネット統一文字コード,J+745D,NULL
瑆,Unicode,U+7446,NULL
瑆,JIS X 0213,1-88-15,面区点番号
瑆,Shift_JIS-2004,ECAD,NULL
瑆,MJ文字図形名,MJ017327,NULL
瑆,戸籍統一文字番号,236570,NULL
瑆,住基ネット統一文字コード,J+7446,NULL
瑄,Unicode,U+7444,NULL
瑄,JIS X 0213,1-88-14,面区点番号
瑄,Shift_JIS-2004,ECAC,NULL
瑄,MJ文字図形名,MJ017325,NULL
瑄,戸籍統一文字番号,236550,NULL
瑄,住基ネット統一文字コード,J+7444,NULL
瑃,Unicode,U+7443,NULL
瑃,JIS X 0213,2-80-83,面区点番号
瑃,Shift_JIS-2004,F5F1,NULL
瑃,MJ文字図形名,MJ017324,NULL
瑃,戸籍統一文字番号,236540,NULL
瑃,住基ネット統一文字コード,J+7443,NULL
瑑,Unicode,U+7451,NULL
瑑,JIS X 0213,-,NULL
瑑,Shift_JIS-2004,-,NULL
瑑,MJ文字図形名,MJ017341,NULL
瑑,MJ文字図形名,MJ017342,NULL
瑑,戸籍統一文字番号,236680,MJ017341
瑑,住基ネット統一文字コード,J+7451,MJ017341
瑑,住基ネット統一文字コード,J+B5BA,MJ017342
㻞,Unicode,U+3EDE,NULL
㻞,JIS X 0213,-,NULL
㻞,Shift_JIS-2004,-,NULL
㻞,MJ文字図形名,MJ002520,NULL
㻞,戸籍統一文字番号,236360,NULL
㻞,住基ネット統一文字コード,-,NULL
蝐,Unicode,U+8750,NULL
蝐,JIS X 0213,-,NULL
蝐,Shift_JIS-2004,-,NULL
蝐,MJ文字図形名,MJ023559,NULL
蝐,MJ文字図形名,MJ023560,NULL
蝐,戸籍統一文字番号,378370,MJ023559
蝐,戸籍統一文字番号,379530,MJ023560
蝐,住基ネット統一文字コード,-,NULL
瑒,Unicode,U+7452,NULL
瑒,JIS X 0213,2-80-85,面区点番号
瑒,Shift_JIS-2004,F5F3,NULL
瑒,MJ文字図形名,MJ017343,NULL
瑒,戸籍統一文字番号,236690,NULL
瑒,住基ネット統一文字コード,J+7452,NULL
瑓,Unicode,U+7453,NULL
瑓,JIS X 0213,2-80-81,面区点番号
瑓,Shift_JIS-2004,F5EF,NULL
瑓,MJ文字図形名,MJ017344,NULL
瑓,戸籍統一文字番号,236700,NULL
瑓,住基ネット統一文字コード,J+7453,NULL
瑦,Unicode,U+7466,NULL
瑦,JIS X 0213,-,NULL
瑦,Shift_JIS-2004,-,NULL
瑦,MJ文字図形名,MJ017369,NULL
瑦,戸籍統一文字番号,237120,NULL
瑦,住基ネット統一文字コード,J+7466,NULL
瓌,Unicode,U+74CC,NULL
瓌,JIS X 0213,-,NULL
瓌,Shift_JIS-2004,-,NULL
瓌,MJ文字図形名,MJ017501,NULL
瓌,戸籍統一文字番号,239210,NULL
瓌,住基ネット統一文字コード,J+74CC,NULL
瑴,Unicode,U+7474,NULL
瑴,JIS X 0213,-,NULL
瑴,Shift_JIS-2004,-,NULL
瑴,MJ文字図形名,MJ017389,NULL
瑴,MJ文字図形名,MJ058049,NULL
瑴,戸籍統一文字番号,237270,MJ017389
瑴,戸籍統一文字番号,237870,MJ058049
瑴,住基ネット統一文字コード,-,NULL
琑,Unicode,U+7411,NULL
琑,JIS X 0213,-,NULL
琑,Shift_JIS-2004,-,NULL
琑,MJ文字図形名,MJ017266,NULL
琑,戸籍統一文字番号,235790,NULL
琑,住基ネット統一文字コード,J+7411,NULL
瑧,Unicode,U+7467,NULL
瑧,JIS X 0213,-,NULL
瑧,Shift_JIS-2004,-,NULL
瑧,MJ文字図形名,MJ017370,NULL
瑧,戸籍統一文字番号,237130,NULL
瑧,住基ネット統一文字コード,J+7467,NULL
瑨,Unicode,U+7468,NULL
瑨,JIS X 0213,-,NULL
瑨,Shift_JIS-2004,-,NULL
瑨,MJ文字図形名,MJ017371,NULL
瑨,戸籍統一文字番号,237140,NULL
瑨,住基ネット統一文字コード,J+7468,NULL
瑲,Unicode,U+7472,NULL
瑲,JIS X 0213,-,NULL
瑲,Shift_JIS-2004,-,NULL
瑲,MJ文字図形名,MJ017387,NULL
瑲,戸籍統一文字番号,237250,NULL
瑲,住基ネット統一文字コード,J+7472,NULL
瑵,Unicode,U+7475,NULL
瑵,JIS X 0213,-,NULL
瑵,Shift_JIS-2004,-,NULL
瑵,MJ文字図形名,MJ017390,NULL
瑵,戸籍統一文字番号,237280,NULL
瑵,住基ネット統一文字コード,-,NULL
瑱,Unicode,U+7471,NULL
瑱,JIS X 0213,2-80-87,面区点番号
瑱,Shift_JIS-2004,F5F5,NULL
瑱,MJ文字図形名,MJ017384,NULL
瑱,MJ文字図形名,MJ017385,NULL
瑱,MJ文字図形名,MJ058048,NULL
瑱,戸籍統一文字番号,237230,MJ017384
瑱,戸籍統一文字番号,237240,MJ017385
瑱,戸籍統一文字番号,237400,MJ058048
瑱,住基ネット統一文字コード,J+7471,MJ017384
瑫,Unicode,U+746B,NULL
瑫,JIS X 0213,1-88-20,面区点番号
瑫,Shift_JIS-2004,ECB2,NULL
瑫,MJ文字図形名,MJ017375,NULL
瑫,戸籍統一文字番号,237160,NULL
瑫,住基ネット統一文字コード,J+746B,NULL
瑭,Unicode,U+746D,NULL
瑭,JIS X 0213,1-88-21,面区点番号
瑭,Shift_JIS-2004,ECB3,NULL
瑭,MJ文字図形名,MJ017378,NULL
瑭,戸籍統一文字番号,237380,NULL
瑭,住基ネット統一文字コード,J+746D,NULL
瑢,Unicode,U+7462,NULL
瑢,JIS X 0213,1-88-19,面区点番号
瑢,Shift_JIS-2004,ECB1,NULL
瑢,MJ文字図形名,MJ017363,NULL
瑢,MJ文字図形名,MJ017364,NULL
瑢,戸籍統一文字番号,237060,MJ017363
瑢,住基ネット統一文字コード,J+B5C3,MJ017363
瑢,住基ネット統一文字コード,J+7462,MJ017364
瑮,Unicode,U+746E,NULL
瑮,JIS X 0213,-,NULL
瑮,Shift_JIS-2004,-,NULL
瑮,MJ文字図形名,MJ017379,NULL
瑮,MJ文字図形名,MJ017380,NULL
瑮,戸籍統一文字番号,237180,MJ017379
瑮,住基ネット統一文字コード,J+746E,MJ017379
瑮,住基ネット統一文字コード,J+B5C9,MJ017380
瑬,Unicode,U+746C,NULL
瑬,JIS X 0213,-,NULL
瑬,Shift_JIS-2004,-,NULL
瑬,MJ文字図形名,MJ017376,NULL
瑬,MJ文字図形名,MJ017377,NULL
瑬,戸籍統一文字番号,237350,MJ017376
瑬,戸籍統一文字番号,237430,MJ017377
瑬,住基ネット統一文字コード,-,NULL
瑿,Unicode,U+747F,NULL
瑿,JIS X 0213,-,NULL
瑿,Shift_JIS-2004,-,NULL
瑿,MJ文字図形名,MJ017402,NULL
瑿,戸籍統一文字番号,238320,NULL
瑿,住基ネット統一文字コード,-,NULL
璆,Unicode,U+7486,NULL
璆,JIS X 0213,1-88-22,面区点番号
璆,Shift_JIS-2004,ECB4,NULL
璆,MJ文字図形名,MJ017413,NULL
璆,戸籍統一文字番号,237640,NULL
璆,住基ネット統一文字コード,J+7486,NULL
璈,Unicode,U+7488,NULL
璈,JIS X 0213,2-80-90,面区点番号
璈,Shift_JIS-2004,F5F8,NULL
璈,MJ文字図形名,MJ017415,NULL
璈,MJ文字図形名,MJ068064,NULL
璈,戸籍統一文字番号,237660,MJ068064
璈,住基ネット統一文字コード,J+7488,MJ068064
璀,Unicode,U+7480,NULL
璀,JIS X 0213,-,NULL
璀,Shift_JIS-2004,-,NULL
璀,MJ文字図形名,MJ017403,NULL
璀,戸籍統一文字番号,237560,NULL
璀,住基ネット統一文字コード,J+7480,NULL
璇,Unicode,U+7487,NULL
璇,JIS X 0213,1-88-23,面区点番号
璇,Shift_JIS-2004,ECB5,NULL
璇,MJ文字図形名,MJ017414,NULL
璇,戸籍統一文字番号,237650,NULL
璇,住基ネット統一文字コード,J+7487,NULL
璁,Unicode,U+7481,NULL
璁,JIS X 0213,2-80-88,面区点番号
璁,Shift_JIS-2004,F5F6,NULL
璁,MJ文字図形名,MJ017404,NULL
璁,MJ文字図形名,MJ017405,NULL
璁,戸籍統一文字番号,237570,MJ017404
璁,戸籍統一文字番号,237860,MJ017405
璁,住基ネット統一文字コード,J+7481,MJ017404
璅,Unicode,U+7485,NULL
璅,JIS X 0213,2-80-89,面区点番号
璅,Shift_JIS-2004,F5F7,NULL
璅,MJ文字図形名,MJ017411,NULL
璅,MJ文字図形名,MJ017412,NULL
璅,戸籍統一文字番号,237630,MJ017411
璅,戸籍統一文字番号,238790,MJ017412
璅,住基ネット統一文字コード,J+7485,MJ017411
璊,Unicode,U+748A,NULL
璊,JIS X 0213,-,NULL
璊,Shift_JIS-2004,-,NULL
璊,MJ文字図形名,MJ017418,NULL
璊,MJ文字図形名,MJ017419,NULL
璊,戸籍統一文字番号,237690,MJ017418
璊,住基ネット統一文字コード,J+B5CA,MJ017419
璉,Unicode,U+7489,NULL
璉,JIS X 0213,1-88-24,面区点番号
璉,Shift_JIS-2004,ECB6,NULL
璉,MJ文字図形名,MJ017416,NULL
璉,MJ文字図形名,MJ017417,NULL
璉,戸籍統一文字番号,237390,MJ017416
璉,戸籍統一文字番号,237680,MJ017417
璉,住基ネット統一文字コード,J+B5C4,MJ017416
璉,住基ネット統一文字コード,J+7489,MJ017417
璏,Unicode,U+748F,NULL
璏,JIS X 0213,-,NULL
璏,Shift_JIS-2004,-,NULL
璏,MJ文字図形名,MJ017423,NULL
璏,戸籍統一文字番号,237910,NULL
璏,住基ネット統一文字コード,J+748F,NULL
璣,Unicode,U+74A3,NULL
璣,JIS X 0213,1-88-28,面区点番号
璣,Shift_JIS-2004,ECBA,NULL
璣,MJ文字図形名,MJ017446,NULL
璣,MJ文字図形名,MJ017447,NULL
璣,MJ文字図形名,MJ017448,NULL
璣,戸籍統一文字番号,238160,MJ017446
璣,戸籍統一文字番号,238310,MJ017447
璣,住基ネット統一文字コード,J+74A3,MJ017446
璣,住基ネット統一文字コード,J+B5D1,MJ017448
璟,Unicode,U+749F,NULL
璟,JIS X 0213,1-88-27,面区点番号
璟,Shift_JIS-2004,ECB9,NULL
璟,MJ文字図形名,MJ017441,NULL
璟,戸籍統一文字番号,238110,NULL
璟,住基ネット統一文字コード,J+749F,NULL
璚,Unicode,U+749A,NULL
璚,JIS X 0213,-,NULL
璚,Shift_JIS-2004,-,NULL
璚,MJ文字図形名,MJ017435,NULL
璚,戸籍統一文字番号,238040,NULL
璚,住基ネット統一文字コード,J+749A,NULL
璖,Unicode,U+7496,NULL
璖,JIS X 0213,-,NULL
璖,Shift_JIS-2004,-,NULL
璖,MJ文字図形名,MJ017430,NULL
璖,戸籍統一文字番号,237990,NULL
璖,住基ネット統一文字コード,J+7496,NULL
璜,Unicode,U+749C,NULL
璜,JIS X 0213,1-88-26,面区点番号
璜,Shift_JIS-2004,ECB8,NULL
璜,MJ文字図形名,MJ017437,NULL
璜,戸籍統一文字番号,238070,NULL
璜,住基ネット統一文字コード,J+749C,NULL
璡,Unicode,U+74A1,NULL
璡,JIS X 0213,2-81-02,面区点番号
璡,Shift_JIS-2004,F641,NULL
璡,MJ文字図形名,MJ017443,NULL
璡,MJ文字図形名,MJ017444,NULL
璡,戸籍統一文字番号,238130,MJ017443
璡,住基ネット統一文字コード,J+74A1,MJ017443
璡,住基ネット統一文字コード,J+B5CE,MJ017444
璒,Unicode,U+7492,NULL
璒,JIS X 0213,2-80-92,面区点番号
璒,Shift_JIS-2004,F5FA,NULL
璒,MJ文字図形名,MJ017426,NULL
璒,戸籍統一文字番号,237940,NULL
璒,住基ネット統一文字コード,J+7492,NULL
璗,Unicode,U+7497,NULL
璗,JIS X 0213,2-80-93,面区点番号
璗,Shift_JIS-2004,F5FB,NULL
璗,MJ文字図形名,MJ017431,NULL
璗,戸籍統一文字番号,238330,NULL
璗,住基ネット統一文字コード,J+7497,NULL
璠,Unicode,U+74A0,NULL
璠,JIS X 0213,2-81-01,面区点番号
璠,Shift_JIS-2004,F640,NULL
璠,MJ文字図形名,MJ017442,NULL
璠,戸籍統一文字番号,238120,NULL
璠,住基ネット統一文字コード,J+74A0,NULL
璑,Unicode,U+7491,NULL
璑,JIS X 0213,-,NULL
璑,Shift_JIS-2004,-,NULL
璑,MJ文字図形名,MJ017425,NULL
璑,戸籍統一文字番号,237930,NULL
璑,住基ネット統一文字コード,J+7491,NULL
璙,Unicode,U+7499,NULL
璙,JIS X 0213,2-80-94,面区点番号
璙,Shift_JIS-2004,F5FC,NULL
璙,MJ文字図形名,MJ017434,NULL
璙,戸籍統一文字番号,238030,NULL
璙,住基ネット統一文字コード,J+7499,NULL
璘,Unicode,U+7498,NULL
璘,JIS X 0213,1-88-25,面区点番号
璘,Shift_JIS-2004,ECB7,NULL
璘,MJ文字図形名,MJ017432,NULL
璘,MJ文字図形名,MJ017433,NULL
璘,戸籍統一文字番号,238010,MJ017432
璘,住基ネット統一文字コード,J+7498,MJ017433
璦,Unicode,U+74A6,NULL
璦,JIS X 0213,1-88-30,面区点番号
璦,Shift_JIS-2004,ECBC,NULL
璦,MJ文字図形名,MJ017451,NULL
璦,MJ文字図形名,MJ017452,NULL
璦,戸籍統一文字番号,238390,MJ017451
璦,住基ネット統一文字コード,J+74A6,MJ017452
璯,Unicode,U+74AF,NULL
璯,JIS X 0213,-,NULL
璯,Shift_JIS-2004,-,NULL
璯,MJ文字図形名,MJ017463,NULL
璯,戸籍統一文字番号,238530,NULL
璯,住基ネット統一文字コード,J+74AF,NULL
璩,Unicode,U+74A9,NULL
璩,JIS X 0213,1-88-32,面区点番号
璩,Shift_JIS-2004,ECBE,NULL
璩,MJ文字図形名,MJ017455,NULL
璩,MJ文字図形名,MJ017456,NULL
璩,戸籍統一文字番号,238420,MJ017455
璩,住基ネット統一文字コード,J+74A9,MJ017455
璩,住基ネット統一文字コード,J+B5D6,MJ017456
璥,Unicode,U+74A5,NULL
璥,JIS X 0213,2-81-03,面区点番号
璥,Shift_JIS-2004,F642,NULL
璥,MJ文字図形名,MJ017449,NULL
璥,MJ文字図形名,MJ017450,NULL
璥,戸籍統一文字番号,238300,MJ017449
璥,戸籍統一文字番号,238380,MJ017450
璥,住基ネット統一文字コード,J+74A5,MJ017449
璨,Unicode,U+74A8,NULL
璨,JIS X 0213,1-88-31,面区点番号
璨,Shift_JIS-2004,ECBD,NULL
璨,MJ文字図形名,MJ017454,NULL
璨,戸籍統一文字番号,238410,NULL
璨,住基ネット統一文字コード,J+74A8,NULL
璱,Unicode,U+74B1,NULL
璱,JIS X 0213,-,NULL
璱,Shift_JIS-2004,-,NULL
璱,MJ文字図形名,MJ017466,NULL
璱,戸籍統一文字番号,238560,NULL
璱,住基ネット統一文字コード,J+74B1,NULL
璲,Unicode,U+74B2,NULL
璲,JIS X 0213,-,NULL
璲,Shift_JIS-2004,-,NULL
璲,MJ文字図形名,MJ017467,NULL
璲,MJ文字図形名,MJ017468,NULL
璲,戸籍統一文字番号,238290,MJ017467
璲,戸籍統一文字番号,238580,MJ017468
璲,住基ネット統一文字コード,J+B5D0,MJ017467
璲,住基ネット統一文字コード,J+74B2,MJ017468
璪,Unicode,U+74AA,NULL
璪,JIS X 0213,2-81-04,面区点番号
璪,Shift_JIS-2004,F643,NULL
璪,MJ文字図形名,MJ017457,NULL
璪,戸籍統一文字番号,238440,NULL
璪,住基ネット統一文字コード,J+74AA,NULL
璮,Unicode,U+74AE,NULL
璮,JIS X 0213,-,NULL
璮,Shift_JIS-2004,-,NULL
璮,MJ文字図形名,MJ017462,NULL
璮,戸籍統一文字番号,238510,NULL
璮,住基ネット統一文字コード,J+74AE,NULL
璫,Unicode,U+74AB,NULL
璫,JIS X 0213,2-81-05,面区点番号
璫,Shift_JIS-2004,F644,NULL
璫,MJ文字図形名,MJ017458,NULL
璫,戸籍統一文字番号,238470,NULL
璫,住基ネット統一文字コード,J+74AB,NULL
璐,Unicode,U+7490,NULL
璐,JIS X 0213,1-88-29,面区点番号
璐,Shift_JIS-2004,ECBB,NULL
璐,MJ文字図形名,MJ017424,NULL
璐,戸籍統一文字番号,237920,NULL
璐,住基ネット統一文字コード,J+7490,NULL
琼,Unicode,U+743C,NULL
琼,JIS X 0213,-,NULL
琼,Shift_JIS-2004,-,NULL
琼,MJ文字図形名,MJ017315,NULL
琼,戸籍統一文字番号,-,NULL
琼,住基ネット統一文字コード,J+B5B3,NULL
壐,Unicode,U+58D0,NULL
壐,JIS X 0213,-,NULL
壐,Shift_JIS-2004,-,NULL
壐,MJ文字図形名,MJ009347,NULL
壐,MJ文字図形名,MJ009348,NULL
壐,戸籍統一文字番号,063570,MJ009347
壐,住基ネット統一文字コード,J+58D0,MJ009347
壐,住基ネット統一文字コード,J+AF9A,MJ009348
玺,Unicode,U+73BA,NULL
玺,JIS X 0213,-,NULL
玺,Shift_JIS-2004,-,NULL
玺,MJ文字図形名,MJ017170,NULL
玺,MJ文字図形名,MJ017171,NULL
玺,戸籍統一文字番号,234810,MJ017170
玺,戸籍統一文字番号,235290,MJ017171
玺,住基ネット統一文字コード,-,NULL
璹,Unicode,U+74B9,NULL
璹,JIS X 0213,2-81-06,面区点番号
璹,Shift_JIS-2004,F645,NULL
璹,MJ文字図形名,MJ017474,NULL
璹,戸籍統一文字番号,238780,NULL
璹,住基ネット統一文字コード,J+74B9,NULL
璻,Unicode,U+74BB,NULL
璻,JIS X 0213,2-81-07,面区点番号
璻,Shift_JIS-2004,F646,NULL
璻,MJ文字図形名,MJ017476,NULL
璻,戸籍統一文字番号,238800,NULL
璻,住基ネット統一文字コード,J+74BB,NULL
璿,Unicode,U+74BF,NULL
璿,JIS X 0213,1-88-34,面区点番号
璿,Shift_JIS-2004,ECC0,NULL
璿,MJ文字図形名,MJ017480,NULL
璿,戸籍統一文字番号,238830,NULL
璿,住基ネット統一文字コード,J+74BF,NULL
瓀,Unicode,U+74C0,NULL
瓀,JIS X 0213,-,NULL
瓀,Shift_JIS-2004,-,NULL
瓀,MJ文字図形名,MJ017482,NULL
瓀,戸籍統一文字番号,238850,NULL
瓀,住基ネット統一文字コード,-,NULL
璸,Unicode,U+74B8,NULL
璸,JIS X 0213,-,NULL
璸,Shift_JIS-2004,-,NULL
璸,MJ文字図形名,MJ017473,NULL
璸,戸籍統一文字番号,238760,NULL
璸,住基ネット統一文字コード,J+74B8,NULL
璺,Unicode,U+74BA,NULL
璺,JIS X 0213,2-81-08,面区点番号
璺,Shift_JIS-2004,F647,NULL
璺,MJ文字図形名,MJ017475,NULL
璺,戸籍統一文字番号,238950,NULL
璺,住基ネット統一文字コード,J+74BA,NULL
璵,Unicode,U+74B5,NULL
璵,JIS X 0213,1-88-33,面区点番号
璵,Shift_JIS-2004,ECBF,NULL
璵,MJ文字図形名,MJ017470,NULL
璵,戸籍統一文字番号,238740,NULL
璵,住基ネット統一文字コード,J+74B5,NULL
瓋,Unicode,U+74CB,NULL
瓋,JIS X 0213,-,NULL
瓋,Shift_JIS-2004,-,NULL
瓋,MJ文字図形名,MJ017498,NULL
瓋,MJ文字図形名,MJ017499,NULL
瓋,MJ文字図形名,MJ017500,NULL
瓋,戸籍統一文字番号,238920,MJ017498
瓋,戸籍統一文字番号,239120,MJ017499
瓋,戸籍統一文字番号,239190,MJ017500
瓋,住基ネット統一文字コード,J+B5D9,MJ017498
瓋,住基ネット統一文字コード,J+74CB,MJ017499
瓄,Unicode,U+74C4,NULL
瓄,JIS X 0213,-,NULL
瓄,Shift_JIS-2004,-,NULL
瓄,MJ文字図形名,MJ017487,NULL
瓄,戸籍統一文字番号,239000,NULL
瓄,住基ネット統一文字コード,-,NULL
瓈,Unicode,U+74C8,NULL
瓈,JIS X 0213,1-88-35,面区点番号
瓈,Shift_JIS-2004,ECC1,NULL
瓈,MJ文字図形名,MJ017493,NULL
瓈,戸籍統一文字番号,239040,NULL
瓈,住基ネット統一文字コード,J+74C8,NULL
瓐,Unicode,U+74D0,NULL
瓐,JIS X 0213,-,NULL
瓐,Shift_JIS-2004,-,NULL
瓐,MJ文字図形名,MJ017506,NULL
瓐,戸籍統一文字番号,239260,NULL
瓐,住基ネット統一文字コード,J+74D0,NULL
瓖,Unicode,U+74D6,NULL
瓖,JIS X 0213,2-81-09,面区点番号
瓖,Shift_JIS-2004,F648,NULL
瓖,MJ文字図形名,MJ017511,NULL
瓖,戸籍統一文字番号,239350,NULL
瓖,住基ネット統一文字コード,J+74D6,NULL
瓓,Unicode,U+74D3,NULL
瓓,JIS X 0213,-,NULL
瓓,Shift_JIS-2004,-,NULL
瓓,MJ文字図形名,MJ017508,NULL
瓓,戸籍統一文字番号,239320,NULL
瓓,住基ネット統一文字コード,J+74D3,NULL
瓘,Unicode,U+74D8,NULL
瓘,JIS X 0213,2-81-10,面区点番号
瓘,Shift_JIS-2004,F649,NULL
瓘,MJ文字図形名,MJ017513,NULL
瓘,MJ文字図形名,MJ017514,NULL
瓘,戸籍統一文字番号,239390,MJ017513
瓘,戸籍統一文字番号,239420,MJ017514
瓘,住基ネット統一文字コード,J+74D8,MJ017513
瓘,住基ネット統一文字コード,J+B5DC,MJ017514
瓚,Unicode,U+74DA,NULL
瓚,JIS X 0213,1-88-37,面区点番号
瓚,Shift_JIS-2004,ECC3,NULL
瓚,MJ文字図形名,MJ017516,NULL
瓚,MJ文字図形名,MJ017517,NULL
瓚,戸籍統一文字番号,239480,MJ017516
瓚,住基ネット統一文字コード,J+74DA,MJ017516
瓚,住基ネット統一文字コード,J+B5DD,MJ017517
瓉,Unicode,U+74C9,NULL
瓉,JIS X 0213,1-88-36,面区点番号
瓉,Shift_JIS-2004,ECC2,NULL
瓉,MJ文字図形名,MJ017494,NULL
瓉,戸籍統一文字番号,239070,NULL
瓉,住基ネット統一文字コード,J+74C9,NULL
瓛,Unicode,U+74DB,NULL
瓛,JIS X 0213,-,NULL
瓛,Shift_JIS-2004,-,NULL
瓛,MJ文字図形名,MJ017518,NULL
瓛,戸籍統一文字番号,239510,NULL
瓛,住基ネット統一文字コード,J+74DB,NULL
瓝,Unicode,U+74DD,NULL
瓝,JIS X 0213,-,NULL
瓝,Shift_JIS-2004,-,NULL
瓝,MJ文字図形名,MJ017522,NULL
瓝,戸籍統一文字番号,239610,NULL
瓝,住基ネット統一文字コード,-,NULL
瓞,Unicode,U+74DE,NULL
瓞,JIS X 0213,2-81-11,面区点番号
瓞,Shift_JIS-2004,F64A,NULL
瓞,MJ文字図形名,MJ017523,NULL
瓞,MJ文字図形名,MJ017524,NULL
瓞,戸籍統一文字番号,239770,MJ017523
瓞,戸籍統一文字番号,239860,MJ017524
瓞,住基ネット統一文字コード,J+74DE,MJ017524
瓟,Unicode,U+74DF,NULL
瓟,JIS X 0213,-,NULL
瓟,Shift_JIS-2004,-,NULL
瓟,MJ文字図形名,MJ017525,NULL
瓟,MJ文字図形名,MJ017526,NULL
瓟,MJ文字図形名,MJ017527,NULL
瓟,戸籍統一文字番号,239720,MJ017525
瓟,戸籍統一文字番号,239780,MJ017526
瓟,戸籍統一文字番号,239870,MJ017527
瓟,住基ネット統一文字コード,J+74DF,MJ017527
瓤,Unicode,U+74E4,NULL
瓤,JIS X 0213,-,NULL
瓤,Shift_JIS-2004,-,NULL
瓤,MJ文字図形名,MJ017537,NULL
瓤,MJ文字図形名,MJ017538,NULL
瓤,戸籍統一文字番号,240270,MJ017537
瓤,戸籍統一文字番号,240300,MJ017538
瓤,住基ネット統一文字コード,J+74E4,MJ017538
瓨,Unicode,U+74E8,NULL
瓨,JIS X 0213,-,NULL
瓨,Shift_JIS-2004,-,NULL
瓨,MJ文字図形名,MJ017542,NULL
瓨,戸籍統一文字番号,240520,NULL
瓨,住基ネット統一文字コード,J+74E8,NULL
㼚,Unicode,U+3F1A,NULL
㼚,JIS X 0213,-,NULL
㼚,Shift_JIS-2004,-,NULL
㼚,MJ文字図形名,MJ002566,NULL
㼚,戸籍統一文字番号,240600,NULL
㼚,住基ネット統一文字コード,-,NULL
瓪,Unicode,U+74EA,NULL
瓪,JIS X 0213,-,NULL
